Year,1989.0
CANON KABUSHIKI KAISHA,130.89553456901714
EASTMAN KODAK COMPANY,56.32040050062578
GENERAL ELECTRIC COMPANY,540.0888597846057
"HITACHI, LTD.",415.509482056455
INTEL CORPORATION,0.0
INTERNATIONAL BUSINESS MACHINES CORPORATION,98.36759371221281
KABUSHIKI KAISHA TOSHIBA,185.39033964941916
"MICRON TECHNOLOGY, INC.",0.0
MITSUBISHI DENKI KABUSHIKI KAISHA,158.03200664426598
NEC CORPORATION,0.0
RCA CORPORATION,289.1865023087035
"SAMSUNG ELECTRONICS CO., LTD.",0.0
SONY CORPORATION,0.0
U.S. PHILIPS CORPORATION,251.43233934755443
