Year,2007.0
CANON KABUSHIKI KAISHA,1179.191026525987
EASTMAN KODAK COMPANY,338.44553648573026
GENERAL ELECTRIC COMPANY,824.79090781543
"HITACHI, LTD.",647.1174654540108
INTEL CORPORATION,203.92515495837688
INTERNATIONAL BUSINESS MACHINES CORPORATION,1557.7354559762528
KABUSHIKI KAISHA TOSHIBA,872.9594549414444
"MICRON TECHNOLOGY, INC.",309.6418435110491
MITSUBISHI DENKI KABUSHIKI KAISHA,462.8741764481945
NEC CORPORATION,728.2463139833803
RCA CORPORATION,289.1865023087035
"SAMSUNG ELECTRONICS CO., LTD.",311.56246411491213
SONY CORPORATION,151.59121333820127
U.S. PHILIPS CORPORATION,251.43233934755443
