Year,2013.0
CANON KABUSHIKI KAISHA,1713.8050578338227
EASTMAN KODAK COMPANY,338.44553648573026
GENERAL ELECTRIC COMPANY,824.79090781543
"HITACHI, LTD.",647.1174654540108
INTEL CORPORATION,203.92515495837688
INTERNATIONAL BUSINESS MACHINES CORPORATION,2497.6608870491245
KABUSHIKI KAISHA TOSHIBA,949.5458882018382
"MICRON TECHNOLOGY, INC.",374.7884233156093
MITSUBISHI DENKI KABUSHIKI KAISHA,462.8741764481945
NEC CORPORATION,728.2463139833803
RCA CORPORATION,289.1865023087035
"SAMSUNG ELECTRONICS CO., LTD.",840.4292362870311
SONY CORPORATION,275.8889562758029
U.S. PHILIPS CORPORATION,251.43233934755443
