,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"CHEMISTRY, METALLURGY",155,338,517,702,888,1035,1170,1300,1447,1577,1715,1848,2011,2167,2305,2431,2542,2690,2807,2917,3030,3146,3266,3354,3448,3534,3619,3710,3810,3886,3986,4047,4140,4216,4299,4365,4454,4538,4616
ELECTRICITY,89,195,322,437,537,686,817,966,1083,1222,1334,1462,1594,1704,1840,2002,2143,2262,2409,2590,2786,2939,3157,3339,3566,3787,4013,4255,4493,4760,5019,5276,5551,5812,6052,6338,6627,6884,7169
FIXED CONSTRUCTION,24,47,64,86,119,148,184,210,237,261,287,305,328,348,360,368,381,396,412,431,452,477,489,508,520,535,552,568,583,593,602,622,637,650,665,683,694,717,741
HUMAN NECESSITIES,88,162,240,314,381,461,556,641,732,829,930,1012,1109,1206,1318,1449,1566,1690,1802,1931,2039,2160,2274,2389,2490,2592,2692,2785,2868,2954,3056,3174,3286,3398,3521,3627,3758,3878,3977
"MECHANICAL ENGINEERING, LIGHTING, HEATING, WEAPONS, BLASTING ENGINES OR PUMPS",93,171,254,351,428,518,613,678,753,834,913,996,1068,1154,1219,1280,1335,1393,1448,1499,1548,1614,1664,1730,1787,1857,1907,1962,2003,2045,2097,2140,2187,2231,2273,2325,2377,2442,2504
"PERFORMING OPERATIONS, TRANSPORTING",180,366,520,684,866,1040,1212,1368,1539,1724,1903,2081,2261,2428,2586,2748,2935,3093,3250,3401,3567,3728,3890,4057,4213,4357,4493,4623,4763,4903,5017,5145,5254,5375,5492,5618,5722,5825,5946
PHYSICS,132,261,400,541,702,834,982,1143,1312,1463,1626,1784,1944,2135,2329,2518,2741,2953,3166,3372,3562,3790,4001,4248,4493,4759,5044,5315,5612,5905,6205,6483,6761,7059,7359,7631,7895,8166,8420
"TEXTILES, PAPER",17,38,58,70,91,113,132,150,163,175,191,205,217,231,245,258,269,276,287,298,308,317,320,328,338,345,357,361,366,368,373,377,379,385,389,395,399,403,408
