,Year,"ADVANCED MICRO DEVICES, INC.",BAYER AKTIENGESELLSCHAFT,CANON KABUSHIKI KAISHA,E. I. DU PONT DE NEMOURS AND COMPANY,EASTMAN KODAK COMPANY,"FUJI PHOTO FILM CO., LTD.",FUJITSU LIMITED,GENERAL ELECTRIC COMPANY,GENERAL MOTORS CORPORATION,GM GLOBAL TECHNOLOGY OPERATIONS LLC,GOOGLE INC.,"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","HITACHI, LTD.",INTEL CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,KABUSHIKI KAISHA TOSHIBA,LG ELECTRONICS INC.,LUCENT TECHNOLOGIES INC.,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","MICRON TECHNOLOGY, INC.",MICROSOFT CORPORATION,"MICROSOFT TECHNOLOGY LICENSING, LLC",MITSUBISHI DENKI KABUSHIKI KAISHA,MOBIL OIL CORPORATION,"MOTOROLA, INC.",NEC CORPORATION,PANASONIC CORPORATION,PIONEER ELECTRONIC CORPORATION,QUALCOMM INCORPORATED,RCA CORPORATION,"SAMSUNG DISPLAY CO., LTD.","SAMSUNG ELECTRONICS CO., LTD.",SIEMENS AKTIENGESELLSCHAFT,SONY CORPORATION,TEXAS INSTRUMENTS INCORPORATED,THE DOW CHEMICAL COMPANY,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE NAVY,TOKYO SHIBAURA DENKI KABUSHIKI KAISHA,U.S. PHILIPS CORPORATION,WESTINGHOUSE ELECTRIC CORP.
Percentage,1990,0.0,0.0,1.1042944785276074,0.0,1.4723926380368098,0.0,0.0,2.208588957055215,0.0,0.0,0.0,0.0,0.98159509202454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2269938650306749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,1991,0.0,0.0,0.0,0.0,0.0,1.6331658291457287,0.0,0.0,0.0,0.0,0.0,0.0,1.3819095477386936,0.0,0.0,2.386934673366834,0.0,0.0,0.0,0.0,0.0,0.0,1.3819095477386936,0.0,0.0,0.0,0.0,1.0050251256281406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,1992,0.0,0.0,1.4251781472684086,0.0,1.3064133016627077,0.0,0.0,0.0,1.0688836104513064,0.0,0.0,0.0,0.0,0.0,1.187648456057007,2.2565320665083135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,1993,0.0,0.0,1.0676156583629894,0.0,1.7793594306049825,0.0,0.0,1.4234875444839856,0.0,0.0,0.0,0.0,0.0,0.0,1.542111506524318,1.0676156583629894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,1994,0.0,0.0,0.0,0.0,1.0843373493975903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.566265060240964,0.0,0.0,0.0,0.0,0.0,0.0,1.0843373493975903,0.0,1.3253012048192772,1.3253012048192772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,1995,0.0,0.0,1.288056206088993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1709601873536302,0.0,1.405152224824356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1709601873536302,1.1709601873536302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,1996,0.0,0.0,1.8648018648018647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6317016317016315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3986013986013985,0.0,0.0,0.0,0.0,0.0,1.048951048951049,0.0,0.0,1.048951048951049,0.0,0.0,0.0,0.0,0.0
Percentage,1997,0.0,0.0,2.0047169811320753,0.0,0.0,0.0,0.0,0.9433962264150944,0.0,0.0,0.0,0.0,0.0,0.0,1.7688679245283019,0.0,0.0,0.9433962264150944,0.0,0.0,0.0,0.0,1.0613207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,1998,0.0,0.0,1.8050541516245486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2490974729241873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.203369434416366,1.444043321299639,0.0,0.0,0.0,0.0,0.0,1.5643802647412757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,1999,1.0416666666666665,0.0,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.0
